BioSample	Environmental_Category
SAMD00521274	Marine Environment
SAMD00521273	Marine Environment
SAMD00521272	Marine Environment
SAMD00521271	Marine Environment
SAMD00521270	Marine Environment
SAMD00521269	Marine Environment
SAMD00521268	Marine Environment
SAMD00521267	Marine Environment
SAMD00521266	Marine Environment
SAMD00521265	Marine Environment
SAMD00521264	Marine Environment
SAMD00521263	Marine Environment
SAMD00521262	Marine Environment
SAMD00521261	Marine Environment
SAMD00521260	Marine Environment
SAMD00521259	Marine Environment
SAMD00521258	Marine Environment
SAMD00521257	Marine Environment
SAMD00521256	Marine Environment
SAMD00521255	Marine Environment
SAMD00521254	Marine Environment
SAMD00521253	Marine Environment
SAMD00521252	Marine Environment
SAMD00521251	Marine Environment
SAMD00521250	Marine Environment
SAMD00521249	Marine Environment
SAMD00521248	Marine Environment
SAMD00521247	Marine Environment
SAMD00521246	Marine Environment
SAMD00521245	Marine Environment
SAMD00521244	Marine Environment
SAMD00521243	Marine Environment
SAMD00521242	Marine Environment
SAMD00521241	Marine Environment
SAMD00521240	Marine Environment
SAMD00521239	Marine Environment
SAMD00521238	Marine Environment
SAMD00521237	Marine Environment
SAMD00521236	Marine Environment
SAMD00521235	Marine Environment
SAMD00521234	Marine Environment
SAMD00521233	Marine Environment
SAMD00521232	Marine Environment
SAMD00521231	Marine Environment
SAMD00521230	Marine Environment
SAMD00521229	Marine Environment
SAMD00521228	Marine Environment
SAMD00521227	Marine Environment
SAMD00521116	Marine Environment
SAMD00521115	Marine Environment
SAMD00521114	Marine Environment
SAMD00521113	Marine Environment
SAMD00521112	Marine Environment
SAMD00521111	Marine Environment
SAMD00521110	Marine Environment
SAMD00521109	Marine Environment
SAMD00521108	Marine Environment
SAMD00521107	Marine Environment
SAMD00521106	Marine Environment
SAMD00521105	Marine Environment
SAMD00521104	Marine Environment
SAMD00521103	Marine Environment
SAMD00521102	Marine Environment
SAMD00521101	Marine Environment
SAMD00521100	Marine Environment
SAMD00521099	Marine Environment
SAMD00521098	Marine Environment
SAMD00521097	Marine Environment
SAMD00521096	Marine Environment
SAMD00521095	Marine Environment
SAMD00521094	Marine Environment
SAMD00521093	Marine Environment
SAMD00521092	Marine Environment
SAMD00521091	Marine Environment
SAMD00521090	Marine Environment
SAMD00521089	Marine Environment
SAMD00521088	Marine Environment
SAMD00521087	Marine Environment
SAMD00521086	Marine Environment
SAMD00521085	Marine Environment
SAMD00521084	Marine Environment
SAMD00521083	Marine Environment
SAMD00521082	Marine Environment
SAMD00521081	Marine Environment
SAMD00521080	Marine Environment
SAMD00521079	Marine Environment
SAMD00521078	Marine Environment
SAMD00521077	Marine Environment
SAMD00521076	Marine Environment
SAMD00521075	Marine Environment
SAMD00521074	Marine Environment
SAMD00521073	Marine Environment
SAMD00521072	Marine Environment
SAMD00521071	Marine Environment
SAMD00521070	Marine Environment
SAMD00521069	Marine Environment
SAMD00521068	Marine Environment
SAMD00521067	Marine Environment
SAMD00521066	Marine Environment
SAMD00521065	Marine Environment
SAMD00521064	Marine Environment
SAMD00521063	Marine Environment
SAMD00521062	Marine Environment
SAMD00521061	Marine Environment
SAMD00665274	Marine Environment
SAMD00665273	Marine Environment
SAMD00665272	Marine Environment
SAMD00443700	Rhizosphere
SAMD00443699	Rhizosphere
SAMD00443698	Rhizosphere
SAMD00443697	Rhizosphere
SAMD00443696	Rhizosphere
SAMD00443695	Rhizosphere
SAMD00443694	Rhizosphere
SAMD00443693	Rhizosphere
SAMD00443692	Rhizosphere
SAMD00443691	Rhizosphere
SAMD00443690	Rhizosphere
SAMD00443689	Rhizosphere
SAMD00443688	Rhizosphere
SAMD00443687	Rhizosphere
SAMD00443686	Rhizosphere
SAMD00443685	Rhizosphere
SAMD00443684	Rhizosphere
SAMD00443683	Rhizosphere
SAMD00443682	Rhizosphere
